gene,P1T,P6T,P14T,P15T,P16T,Cont-19,Cont-21,Cont-32,Cont-51,Cont-54,Cont-70,Cont-78,P3T,P10T,P13T,CONT-34
SLAMF6,706,4620,3905,1666,2674,643,989,676,376,64,566,335,2162,1503,907,254
FLT4,242,272,66,178,24,33,504,1229,6675,2950,689,87,380,47,19,935
DPYSL3,513,807,78,1074,436,4029,1116,1116,3095,3126,1884,1404,359,220,51,1099
RP11-497H16.7,101,245,228,296,39,28,80,108,23,28,53,43,119,261,265,33
ACTA2,1076,2665,338,1438,259,650,5307,3534,15930,11586,4374,555,1811,716,277,5998
PAF1,960,1820,1117,1759,682,1503,2391,3001,1318,1742,1098,1560,1474,1011,905,2997
TUBB2B,195,180,105,165,94,185,635,359,252,269,131,297,156,183,110,524
TMC6,1816,5641,4065,4152,2163,860,3248,2290,1148,431,1606,821,4595,3560,3401,1306
FBXL7,55,140,18,35,47,314,254,289,1702,850,188,60,175,32,1,320
1-Mar,1100,3293,2916,3181,510,473,878,989,270,90,702,454,2034,1945,4743,543
PTOV1,1074,1902,1041,1840,541,2253,3381,1970,1467,1083,817,1310,1555,1012,786,1721
PPP6R1,1448,5585,4231,3838,2610,1693,2164,2552,1304,782,1330,967,4951,3129,2776,1462
C9orf139,83,298,270,162,71,14,73,66,27,8,23,101,452,117,514,25
SNAI2,17,34,13,23,39,237,56,112,363,713,83,75,62,7,0,98
MRPS24,16,22,8,22,9,48,54,63,31,45,31,119,47,22,17,80
ZFAND2A,934,622,334,595,290,779,3485,1259,616,3985,361,7554,306,347,207,2240
S1PR3,395,262,121,263,36,194,425,1279,6711,2349,746,199,428,42,43,989
CEACAM19,63,61,59,86,19,142,352,145,393,546,67,45,57,46,50,123
PXDN,419,665,86,452,455,2641,1983,1686,9019,2564,1849,885,964,74,16,1127
DOCK6,525,461,66,349,134,443,1069,1665,9030,3460,1102,764,995,236,40,1444
PLVAP,1586,2878,69,836,65,249,3492,8272,44207,39682,6800,197,1984,149,66,8665
EPS8,2196,2727,812,2189,870,5381,6860,3463,6115,2997,1900,2899,3332,1889,1086,3009
TRAV24,3,28,31,28,19,3,15,2,3,0,3,1,61,17,23,1
HSPA1L,473,270,108,295,72,237,1599,687,179,3084,212,1943,146,112,80,1801
FGFR1,761,466,425,681,411,2186,1152,1687,2317,4048,899,1238,1118,134,152,2029
IRF9,471,1253,887,877,480,240,599,602,305,129,198,194,447,557,585,178
HSPB1P1,604,535,157,348,191,1369,3544,492,299,1210,367,1145,307,275,197,1848
BIN2P1,46,103,113,94,31,8,40,34,13,3,31,9,105,58,80,28
PDE1A,41,88,3,52,5,33,2123,170,781,63,197,54,60,37,1,182
SELL,855,2988,2366,3935,1154,214,791,1320,624,168,676,139,1897,2653,1775,431
PMEPA1,596,488,203,1638,180,2824,1423,2318,4918,1183,1878,566,1076,355,158,2084
ARL11,183,633,530,706,78,135,232,157,38,27,102,86,440,333,715,110
6-Sep,1940,6931,4576,4620,3422,933,2869,2970,1025,513,1502,799,4054,3305,2487,1401
FBXO41,420,1301,1179,852,496,308,477,723,160,86,276,340,1328,942,789,227
GPRC5C,668,751,156,787,224,730,4507,1249,1092,376,824,1089,712,228,200,1666
RASAL3,1555,6256,3526,3310,2886,539,2105,1980,429,386,1166,577,4637,2390,1346,698
CLN3,333,393,392,463,127,78,260,214,78,51,111,114,293,201,316,44
RP11-848G14.2,101,224,189,265,28,36,67,106,31,19,42,52,141,247,233,43
ZNF319,82,524,472,438,207,99,199,212,158,80,92,102,566,334,350,94
TMPRSS13,73,132,140,114,58,38,64,61,13,6,16,20,53,75,131,28
MYO9B,5285,13882,12756,11700,3800,1909,4817,7380,3111,2028,3588,2396,11950,9799,13542,4244
COTL1,7329,22486,19100,16918,7848,3205,11831,10378,3543,1373,3643,2774,13902,11633,16667,6721
VAV1,1328,4448,3406,4407,1581,584,1706,1824,432,189,963,395,3205,2639,3221,1217
ODF3L1,12,7,2,7,7,25,31,44,22,19,13,12,1,6,1,77
DCUN1D3,534,658,656,1493,392,1385,1011,1971,1537,3081,730,1278,566,375,329,2720
CCR5,848,7488,4909,3495,4598,891,1638,2193,276,244,830,559,4029,3005,3816,1215
FGD3,1470,3793,3339,2896,1422,425,1335,1637,407,152,1070,429,2649,2265,1874,435
DPYD,2078,4552,3997,5011,1489,1138,1429,2271,1611,1015,1025,838,3894,2608,5358,1194
LAT,66,414,263,143,203,49,124,94,30,14,53,36,191,164,96,52
NUP210,2260,6250,6278,4205,3505,1219,1963,2886,799,168,1412,1108,5112,3973,2945,859
VNN2,614,2487,1088,2445,730,464,543,711,271,63,293,252,906,747,2046,443
PARD6G-AS1,92,29,6,54,5,82,720,249,23,150,78,370,31,10,9,134
FADS3,778,776,393,852,399,2544,1565,1264,1656,1043,779,1189,1214,312,252,1217
MAFF,1424,3970,475,2099,381,541,2787,8919,6837,7034,2189,3688,646,706,455,12348
SGK494,169,352,371,338,143,131,124,93,77,44,97,139,299,277,340,39
ADAMTS1,2821,2786,162,840,657,1584,6303,6364,19787,13152,4374,6433,2588,511,54,11474
XRCC3,118,270,213,186,125,80,175,148,87,27,81,70,314,207,168,82
COL4A1,2817,6165,203,2557,608,2078,9363,13143,111129,27321,22740,1345,5741,416,82,9907
RAPGEF5,484,611,85,140,115,153,660,1565,8207,7256,1057,588,692,54,16,1067
C2CD2L,576,1530,844,1082,417,171,704,659,378,247,276,433,999,748,993,377
SOX11,6,25,2,11,3,7,226,72,329,227,79,75,19,49,0,100
GNL3,1105,2086,1426,1880,924,2002,2893,2828,2036,2129,1354,1373,1507,1215,1275,1957
DLC1,642,481,72,428,11,83,690,2300,7674,9848,980,384,700,105,102,3594
EBF4,138,148,40,43,2,306,223,303,391,147,83,211,69,33,29,408
PPIC,207,399,92,255,120,537,1039,276,834,250,289,320,254,242,67,438
MTSS1L,165,308,109,221,100,237,478,489,1406,513,203,485,333,197,147,431
LIMCH1,604,927,91,394,286,1678,1323,1445,3879,1502,477,1240,521,85,62,1137
RP11-44M6.7,205,308,231,277,84,67,145,191,34,28,75,97,276,244,198,61
CRB2,11,4,1,7,4,132,152,10,2,42,2,34,4,2,0,92
RN7SKP203,2,5,3,9,6,20,45,16,11,20,3,113,8,6,4,42
RASL11B,3,1,2,7,1,0,7,20,44,25,15,62,2,3,1,14
CD180,229,1756,2066,1263,312,261,439,318,57,111,167,195,1099,1042,2225,448
NAIP,1882,4289,3240,4802,943,1050,1369,1243,618,454,1232,745,1995,2716,4589,992
GRIPAP1,1948,3770,2943,3070,1478,1180,2338,2524,1301,785,1234,1273,2451,2021,2110,1297
ATF6B,2001,5001,3625,4165,1622,1889,3432,2182,2067,780,1291,1297,3915,2799,2760,1233
LMCD1,288,314,149,387,86,345,435,850,1624,6278,408,176,417,84,35,1102
ZNF574,121,255,176,241,102,264,351,358,366,254,142,297,279,181,180,377
ADAMTS12,5,29,1,14,2,20,14,58,738,21,103,77,31,6,0,33
NDOR1,86,216,192,167,71,51,110,126,50,26,66,43,182,145,156,65
UACA,2224,2554,699,1516,298,2361,3229,4124,14521,2552,3428,2424,1838,850,913,3532
RP11-350N15.6,2,0,2,1,3,15,7,22,13,29,2,5,3,0,0,42
KCNAB2,2763,8386,9239,6677,2867,883,2569,4824,1679,585,1890,871,6782,4467,7593,1880
CORO1A,5126,22921,16508,13362,9658,2171,9058,6574,1992,370,3676,1698,15895,10689,8641,3414
TCF7L1,47,60,10,36,35,49,165,139,757,398,64,46,78,16,5,203
PCGF2,216,297,110,244,69,324,504,682,1182,937,276,329,379,55,19,697
MARK1,12,17,3,32,1,6,69,63,478,186,53,5,25,5,1,74
SIGLEC1,1458,7788,5887,5166,1212,516,1892,1628,445,194,995,697,3591,7302,9206,2058
SIGLEC9,550,1307,1445,2090,140,255,518,468,116,110,220,211,1163,1086,1841,447
MYADM,3267,2990,1301,3378,902,2147,5298,12244,13917,11371,3650,1464,1804,1379,1629,10646
TSC22D2,793,1058,673,1179,368,933,756,4706,4167,4149,997,1352,796,770,621,2838
PIK3CD,1852,8084,5605,5205,3948,656,2044,2807,853,226,1910,503,5525,3679,4023,930
PTPRJ,1698,7026,6313,5583,2892,2178,2096,3098,1085,483,1364,1410,5563,4017,6490,1862
TMEM132A,100,209,26,321,134,2639,1719,290,697,555,376,967,435,187,10,541
LSP1,3702,11617,10955,14130,4037,2346,4858,4029,955,288,2134,1084,7804,5444,9121,2830
COL1A1,496,1128,183,25826,33,2951,2595,3587,9422,1570,9114,992,847,377,42,4131
OLFML2A,349,396,62,104,10,103,1237,1447,4620,720,1517,52,317,55,66,1402
SRSF12,20,29,9,65,7,55,90,66,35,34,32,62,24,8,5,63
ATF4P3,312,437,253,414,211,285,1052,653,723,549,372,263,321,223,230,880
RP11-34P13.16,40,106,102,106,18,9,40,51,12,17,17,14,79,78,115,23
HSPA1A,73295,19216,5116,26462,3618,27388,242267,98270,25645,411376,29796,193425,6726,6220,4267,284554
STK11,1060,2345,1352,1797,816,615,1515,1236,963,453,652,594,2156,1342,1177,896
DMD,257,265,97,487,28,251,7094,457,1307,327,195,2634,191,137,31,202
LRRC32,280,799,39,186,73,383,677,1976,3952,6517,755,251,1024,108,41,3574
POFUT2,869,1635,856,1441,583,1875,1892,2057,1235,941,821,1014,1100,904,623,1129
CTD-2313F11.1,19,52,37,17,22,7,13,14,7,2,5,6,35,16,12,3
FLT1,2602,3199,207,1404,92,438,2193,11510,32025,65643,7388,329,3164,259,266,10539
MPO,29,62,67,91,8,4,14,30,8,2,8,6,54,65,105,20
FUT1,13,39,15,23,1,8,38,125,193,212,38,44,26,21,12,90
HSPD1P6,125,106,59,82,68,136,456,223,103,813,77,453,60,101,50,543
NOV,190,152,22,195,28,75,904,319,1182,325,52,601,84,55,20,764
ADGRF5P2,30,30,5,6,4,4,72,72,368,391,53,9,12,5,1,30
CEP112,400,513,98,290,125,568,1323,591,1723,961,351,656,310,96,21,616
ARRDC5,35,111,97,90,41,19,53,36,8,7,28,28,135,43,69,12
PYHIN1,721,2351,1604,951,1508,292,547,839,286,46,306,221,1442,778,526,191
SH3KBP1,2345,6438,4963,5356,2465,1213,2473,3162,2147,507,1544,1186,4125,2993,2946,1563
ACTG2,43,103,34,58,14,18,221,226,512,814,228,7,55,27,5,203
SSTR2,60,78,7,32,7,13,70,186,943,333,121,12,35,8,7,345
ESM1,2044,2235,86,543,69,151,1259,7153,18668,53053,3739,228,818,102,21,8072
NLRP2,232,753,208,400,297,89,41,259,147,15,51,29,926,359,501,16
SP140,591,2470,1553,1196,1586,319,717,851,179,70,397,325,1326,1110,725,314
CPVL,6433,18527,13157,17485,1278,1937,6277,5068,1341,1001,2201,1427,10596,9110,14701,4435
TDRP,350,475,54,303,79,483,1240,818,758,847,583,750,211,70,6,769
HSPA1B,68352,20127,4567,27947,3855,28405,237374,89465,23531,381446,26945,191211,6041,6394,3134,266248
UBE2QL1,7,28,13,9,31,131,52,326,164,273,34,5,26,6,4,34
CACNA1C,85,79,7,32,9,141,134,322,2152,312,235,17,123,7,3,203
COL15A1,288,567,44,406,17,77,1047,1444,15596,1616,1884,42,505,102,29,1264
DENND1C,1177,3307,2537,2117,1517,380,1256,1474,371,117,692,410,2235,1485,1069,516
CH507-42P11.5,2,1,0,4,2,65,5,9,8,19,5,18,2,1,0,4
RP11-331F4.5,3,4,0,7,4,2,17,16,66,31,9,14,3,4,1,29
CD48,2146,6879,4337,4366,2707,715,2174,2847,944,346,1346,454,4024,2907,3744,1611
SIX2,4,2,0,4,0,4,16,17,11,3,4,24,2,0,0,16
CC2D1B,1041,3183,2226,2232,1056,871,2066,1591,794,435,810,910,1998,1559,1480,832
CR1L,21,75,60,63,13,12,22,12,3,3,12,13,29,37,57,15
PLEKHG1,198,350,142,233,256,216,408,1089,5983,3933,463,128,424,115,62,844
IGFBP7,7287,11370,576,8428,323,11082,33122,19375,72679,40710,12496,12193,8072,2222,303,17604
USB1,659,2082,1970,2219,692,410,977,1018,673,368,512,357,1435,1219,1371,693
AC007228.9,41,72,42,70,24,45,136,152,63,50,56,80,24,42,28,194
CSTA,604,1437,1098,1679,470,471,628,622,178,96,207,179,754,608,1306,382
HEXDC,553,1616,1043,949,683,425,995,686,297,183,361,361,1106,662,863,475
HSPD1P1,322,257,131,242,123,330,950,614,157,2273,245,1251,189,263,107,1259
ITGAD,30,1038,301,226,85,13,66,78,28,27,30,22,313,192,217,598
FOXC1,114,129,31,102,16,320,294,395,1322,969,147,214,367,40,11,476
PLPP1,1303,2111,186,618,210,839,4182,4975,19122,7850,1561,656,2101,240,154,5310
SMTN,434,524,198,343,150,758,1140,1320,4369,5911,661,359,601,740,132,1213
THBS2,95,153,32,3239,17,464,1141,677,655,264,766,229,171,104,8,525
RP11-261C10.7,67,89,64,99,35,20,42,59,26,22,31,32,108,111,85,25
GUCY1B3,532,570,184,820,198,2402,1291,809,2641,466,832,1418,646,558,141,796
GNRH1,107,198,126,106,46,132,340,209,142,77,89,268,90,66,66,144
DOCK2,5348,13119,12537,10880,4556,2109,3917,8047,1606,619,2956,2180,8410,8832,8547,2957
TRGV8,16,47,74,30,53,5,11,24,21,2,6,8,52,59,39,4
ZNF436,329,371,359,663,221,492,3174,549,677,653,559,1337,349,242,341,343
BORA,180,571,439,324,280,144,304,141,97,62,95,128,199,258,308,99
FCRL6,355,1787,904,539,927,61,187,425,284,22,85,77,1792,324,183,88
HMCN2,26,35,16,45,7,6,45,125,1062,307,66,18,48,6,5,82
ART5,3,1,0,2,0,19,47,36,4,2,2,27,6,1,0,12
C10orf76,1044,1934,1640,1961,660,813,1494,1235,811,503,570,690,1428,1348,1364,831
MYO7A,387,3238,1352,1806,1510,592,703,969,114,137,289,267,1771,1807,1738,551
ITGB2,8760,37215,31264,33953,7742,7736,11253,9854,2997,1296,5608,3961,25241,21084,37011,11170
IL17RA,1141,3237,3482,2836,1042,665,1463,1403,1144,556,864,507,2635,2144,4031,839
RP11-396F22.1,12,7,3,3,3,7,40,19,54,276,9,15,5,16,1,63
TSC22D4,769,2732,1670,1589,1016,855,1502,1137,537,374,652,579,2577,1876,1471,758
BCAM,626,649,87,378,245,843,2872,1713,3959,3333,948,679,1425,187,63,2357
GLI1,3,7,8,13,0,19,31,23,99,11,21,7,6,8,0,40
PIK3AP1,2069,8679,5384,8220,2484,866,1800,3751,718,413,1599,895,5812,4919,7864,2363
IL27,7,53,27,44,13,9,8,10,1,2,4,7,15,29,53,4
DCLK2,57,100,41,191,13,35,137,306,661,319,139,180,84,25,29,247
PARVG,6163,13279,10985,13102,2698,1706,4526,6817,1077,1270,2725,2205,5792,6802,9175,2509
RP11-465B22.3,31,26,43,40,15,40,102,157,32,44,41,111,20,38,18,223
ARHGAP23,64,147,34,123,37,137,185,386,1418,700,217,146,313,89,21,512
HORMAD1,30,46,77,74,15,4,4,14,9,2,17,10,39,34,96,12
ASCL2,78,184,84,94,23,25,91,42,17,5,17,26,112,109,176,33
RP11-344B5.2,49,164,134,199,6,32,36,42,14,9,25,19,118,104,208,20
RP11-93B14.10,9,27,36,22,16,3,8,8,4,2,5,2,24,16,10,8
TOB2,896,1172,775,1210,561,755,1871,3685,2570,1733,1051,1324,1363,979,746,2167
SPG11,3112,5809,4994,5478,2897,1885,3396,3624,2302,921,1802,2386,3887,3830,3711,1361
TRAV38-2DV8,33,63,27,29,26,2,9,5,2,0,11,9,56,19,10,0
MICB,390,645,782,672,563,165,401,332,179,202,154,351,632,529,553,233
RP11-293M10.6,95,167,158,166,26,30,54,65,45,15,36,46,88,83,136,30
ERF,538,899,661,972,309,999,1106,2632,3115,1629,801,653,1236,604,522,2245
RP11-629O1.2,35,97,72,83,48,20,50,38,20,15,17,33,72,42,48,34
VASN,327,531,91,433,148,1300,1294,1130,790,538,414,713,649,271,26,3781
CEBPE,19,22,13,27,2,0,4,5,0,2,3,4,23,26,24,6
NME6,200,503,468,404,244,205,307,204,139,67,137,205,422,336,417,145
ARHGAP45,3439,9010,5852,6152,3595,861,3788,4698,1331,495,2091,1159,7142,5099,4268,2028
LRRC1,302,319,106,124,32,383,1362,628,273,256,245,419,193,130,45,224
HEYL,218,159,30,40,5,62,396,741,4296,709,699,47,250,23,9,731
RP11-632P5.1,12,15,3,14,2,19,57,79,9,7,30,41,13,2,0,39
TSPYL2,3333,3898,2089,3194,1724,2492,3852,14530,4250,7168,4633,7826,1778,1705,656,5768
IL10RA,7162,20310,11500,15618,6940,2132,5958,11437,2692,1426,3620,2239,10396,11576,14317,5174
DNAJA1,6629,8762,3541,7711,4308,4106,12471,19769,18829,53736,6790,13277,3581,4115,4531,35889
AXIN2,22,27,29,40,10,29,41,89,282,112,80,35,39,18,12,43
ABCA3,269,492,243,309,237,1756,935,447,868,421,407,819,579,466,144,1098
PHKA1,154,214,87,238,60,512,767,422,219,413,142,1050,251,101,179,157
TM4SF4,0,2,1,9,3,21,96,56,6,9,0,50,4,1,0,16
SEMA3G,92,147,62,43,18,3,225,529,1029,3222,101,42,160,28,7,489
EXOC3L1,47,89,13,25,6,45,123,216,912,336,134,10,109,13,11,275
LAMB2,2064,3022,779,2863,352,4018,6181,5281,14427,7799,2940,2366,3992,281,838,5364
CD53,4808,19774,16498,19027,5529,3116,6949,8304,3079,1444,4176,1997,12001,9993,15003,5925
SLC6A6,2461,5654,5213,5273,2004,1416,1861,3270,800,670,1717,1932,5546,3362,4851,1372
PLCB2,6460,11023,10147,12698,2881,1452,4694,5963,1268,261,2599,1722,8814,6945,9283,2179
SIPA1,1820,5170,3306,4171,1679,1388,2892,2716,1939,805,1205,850,4381,3286,2832,1636
RP11-1280N14.3,528,906,757,942,216,209,271,375,188,117,321,228,516,775,955,147
GPR176,169,248,13,216,9,480,326,262,1043,740,241,646,112,24,5,382
RP11-1099M24.6,32,57,18,25,15,34,41,311,153,37,73,39,28,33,20,106
ADAP1,144,421,232,276,131,54,173,161,61,23,75,99,464,201,317,143
DEPTOR,380,543,262,471,75,400,1644,666,985,495,259,1060,509,219,212,425
E2F2,77,368,271,113,227,47,142,79,16,5,27,44,155,197,94,37
CTC-479C5.12,154,379,284,235,164,71,281,126,102,27,67,98,291,140,213,60
IGFBP2,55,138,68,371,10,3863,97,155,1742,505,481,78,186,77,47,184
FKBP9,739,1081,512,1272,729,3816,2741,1670,4058,1695,1926,1965,1511,1723,505,1518
TPM2,964,733,537,1284,234,475,4636,2316,5952,2341,1404,749,1091,814,252,2328
RP3-475N16.1,60,90,72,79,20,24,53,53,19,15,26,21,74,59,53,23
ROBO2,3,8,0,0,0,2,71,10,110,57,15,2,0,0,0,9
KLHL25,61,108,120,142,39,75,130,301,345,245,113,228,134,71,68,236
DGKZ,2163,7586,4652,3850,2619,1837,3319,3007,2216,764,1516,1131,5878,3374,2691,1723
TRPV2,704,2632,2335,1755,952,377,1139,893,707,316,672,265,1740,1380,1938,662
GIPC3,40,60,10,17,2,5,77,170,822,228,105,7,42,6,5,222
RILPL1,189,378,167,259,150,496,517,357,626,201,208,388,223,203,191,239
TEAD2,83,136,27,80,50,169,229,313,1038,735,168,52,137,22,2,304
TYK2,3413,6231,5286,5580,2180,1783,4438,4556,2512,1043,2109,2180,6138,3958,4016,1919
PRR29,6,50,13,5,6,25,111,48,143,13,22,62,4,18,12,61
RP11-449P15.2,78,112,100,70,49,5,16,62,22,4,17,27,76,67,75,22
KCNS3,192,309,54,232,89,935,1178,210,599,122,437,1112,191,104,7,376
ESAM,408,711,15,203,13,64,909,1924,11381,5459,1452,108,602,27,11,2614
SAMD3,442,1570,1026,568,846,113,326,343,173,24,255,72,1103,422,204,97
CYBB,5975,27138,29492,28740,4779,5914,7247,6777,2571,654,4798,3102,15957,17443,41784,6535
CECR6,69,141,115,216,15,10,70,59,18,6,23,43,170,120,221,19
RP11-248J18.3,21,80,41,51,50,4,14,18,10,4,12,6,24,18,21,9
ENDOU,1,5,0,1,2,4,2,14,89,76,1,4,3,1,0,17
TRIP10,1227,1211,364,1175,174,1168,4347,2170,1939,1896,915,1113,1384,672,363,3491
RFX8,17,23,11,12,11,1,36,78,528,77,46,14,5,7,3,63
TPRG1,278,575,529,438,176,88,246,195,42,17,165,108,399,286,401,85
ADAMTSL2,24,57,24,49,2,28,145,214,1202,96,89,79,99,50,8,184
CSTF2T,652,1488,1344,1765,722,598,1001,855,658,459,444,506,1294,1071,971,609
TNK2-AS1,22,42,27,29,14,2,13,23,7,6,2,5,28,45,20,5
CDC42BPA,668,900,378,1105,207,1837,1748,1527,4802,2048,1004,1644,1407,870,296,890
RP11-482G13.1,43,70,102,92,21,8,13,37,14,22,21,9,75,87,93,13
RASL11A,199,209,36,436,51,230,796,410,498,613,469,223,63,81,30,488
FPR3,2839,9670,10637,10643,580,1169,2626,2280,347,497,1688,628,6289,7118,14586,2238
RP11-291B21.2,43,602,433,71,968,15,25,26,26,7,108,22,783,128,52,17
DLL4,434,379,12,97,8,22,581,1958,6206,6094,1009,46,254,14,3,2351
MATN2,152,350,46,207,35,175,460,681,727,4066,438,142,416,65,12,798
CTD-2547L24.3,44,173,150,79,163,14,46,38,19,6,35,22,106,56,36,17
PIEZO2,103,107,6,40,6,23,169,524,1573,270,261,23,73,14,4,325
TNFSF13B,1037,2674,1839,3022,508,591,725,772,236,64,593,318,1051,1869,2661,446
SLC13A3,25,139,47,518,897,74,25,16,12,9,6,5,133,190,12,9
SNX20,832,2809,2238,2429,963,420,1419,1334,328,90,479,370,1703,1361,2263,574
RNU1-4,7,6,1,11,11,9,33,28,28,30,13,18,5,2,5,68
BTK,1425,3425,2796,3356,436,447,1209,1392,368,284,657,550,2038,2423,3431,1040
ICAM3,961,3022,2375,1844,1656,676,1536,1310,494,280,682,421,2624,1347,846,522
TLR7,513,3154,2413,2744,208,261,527,511,88,31,367,283,1903,1726,4354,629
AC011899.9,107,343,412,514,28,69,95,131,31,10,54,69,329,213,913,57
ISYNA1,490,712,167,329,135,685,1287,759,1285,259,515,405,257,217,89,681
MMP11,85,124,31,89,12,85,444,202,718,31,327,54,84,36,11,295
SELPLG,1326,5711,5315,4766,2060,1149,2150,2167,1109,170,1134,524,4791,3060,3170,1296
C3orf52,21,12,9,13,43,43,77,592,23,243,48,640,10,61,1,318
PODXL,731,1471,139,473,119,409,1507,3726,20743,8991,1836,553,2153,133,41,4181
TIMP3,2362,2660,537,1731,40,654,1939,10350,45893,34096,3748,1017,3961,310,795,12325
PTPRC,13311,36061,32576,28956,19479,4350,7100,20398,6035,1723,9824,3628,24837,18841,20531,5017
NLGN2,201,168,84,321,76,354,272,456,597,303,227,340,193,114,21,472
RP11-90L1.8,4,4,1,2,2,4,10,29,17,24,11,10,7,2,6,22
RP11-271K11.5,28,59,57,52,12,16,16,27,7,11,12,10,38,56,57,12
LY6H,3,3,0,2,0,0,12,18,919,89,14,4,2,0,1,31
CBY1,290,437,191,308,141,705,1310,412,412,179,265,389,424,197,177,399
TMEM233,26,62,1,39,2,5,42,165,1166,292,95,19,43,9,2,150
GLUL,37945,119446,120503,129596,16231,29035,29300,34247,9323,12259,19375,19158,54712,67587,114231,30357
TMPO,1854,4017,3572,3246,2312,1692,2144,2288,1478,730,830,1160,2604,2424,1975,1010
NDST2,99,247,152,241,60,46,124,108,56,21,69,42,128,152,114,60
HES1,989,782,53,721,145,172,1610,2269,6552,10119,1011,639,473,197,29,2765
IFT57,1070,1089,419,941,426,974,2443,1379,1078,1086,649,1285,662,421,278,1493
TIPARP,3430,6204,3990,3527,1436,21981,4162,9526,6782,4014,4564,5463,2213,1120,1189,6352
SLIT3,229,310,41,167,99,292,427,897,4992,861,895,73,373,20,14,659
RAB4B,363,1013,663,704,269,319,640,384,270,140,203,161,551,502,603,269
EMB,2496,7166,6465,6525,3594,757,1753,2994,1103,232,2014,547,3916,3639,3088,896
B3GNT8,13,144,64,102,19,16,62,20,7,6,16,12,154,115,157,23
LRRC49,186,123,25,133,34,203,328,221,379,276,125,315,75,23,17,204
FAM127C,118,228,87,199,43,338,235,266,296,130,136,181,230,87,96,266
PPP2CB,1774,2778,1336,2418,475,2785,4639,2427,3075,3549,1271,2759,1743,1049,1496,3147
ARHGAP4,4032,9482,6115,7125,3126,1876,5344,5381,1598,685,2354,1713,6829,5848,4780,2507
PI4KA,2496,5137,4634,4507,2305,1625,2528,3512,2261,1193,1624,1270,4441,3273,3573,1688
RP5-940J5.6,9,44,29,36,21,12,9,6,3,3,5,8,26,10,29,4
PHF19,748,2257,1901,1504,1052,409,1006,1093,469,158,483,353,1031,1307,799,499
MFSD13A,205,567,542,427,71,117,183,231,91,52,80,122,462,279,655,149
ADGRF5,1179,1095,48,326,18,122,849,3787,20245,23046,2577,321,1118,53,13,2347
ZPLD1,2,0,3,3,2,267,62,7,5,2,4,121,2,9,1,2
MMP15,57,131,48,42,20,174,1006,370,972,100,272,151,153,243,23,310
RABGAP1L,1835,4135,2639,3156,1925,768,1644,2115,1673,755,982,1012,2338,2181,2056,917
KLHL29,75,122,19,46,29,188,319,201,222,81,72,196,173,63,28,133
INSR,2432,2070,480,986,334,624,3280,6453,21491,14476,2621,2463,3254,335,435,5713
MTO1,843,1666,1017,1105,631,589,1160,758,566,416,384,462,978,791,823,496
RNVU1-7,5,6,4,10,8,6,30,21,14,44,10,17,2,3,4,63
LINC00346,95,148,51,86,23,74,113,368,123,145,209,85,54,21,36,617
RP11-144L1.8,330,370,206,339,128,165,919,1060,326,2794,238,1030,143,202,277,1851
BIRC3,4629,10472,6996,7218,5685,8567,30458,15966,3732,10043,7475,18519,7616,3366,3535,24521
EAF2,364,831,403,756,175,106,386,249,71,63,100,87,221,363,327,204
FNBP1,2294,9376,6667,5907,3435,1202,2739,4384,1658,1206,1863,1054,5162,4221,4988,2370
GZMA,1548,10628,5690,2717,7731,1233,1785,1264,494,39,853,339,5459,2708,1102,693
EHBP1L1,3249,7752,7516,7009,2720,2214,3906,4082,2795,970,2375,1915,6584,5478,7540,3121
CTD-3113P16.11,316,325,264,295,110,347,431,439,400,240,241,431,260,148,220,367
CKS2,362,959,325,536,471,541,2443,1402,943,899,523,695,225,561,229,1486
CLDN4,1766,1585,57,195,350,3595,9510,14739,488,1212,1460,2739,765,489,19,20246
HSPB1,10507,8220,2077,5621,2702,20766,57506,7568,4184,19138,5272,19181,4336,4835,2635,24136
C20orf202,6,8,1,13,1,19,28,22,57,13,17,9,10,5,7,13
TUBB4B,3297,3995,2139,2718,1638,2242,11611,8278,5239,4753,2807,2546,2923,2929,1937,8130
HSPE1P18,21,20,58,15,16,1,3,6,1,0,1,8,12,12,10,0
ACR,3,18,1,3,1,17,13,16,66,28,9,13,5,2,0,11
CR1,262,1766,2819,3270,486,349,200,607,202,81,565,125,818,2341,2849,217
RP11-117D22.2,9,37,29,25,1,2,13,3,1,0,1,1,17,21,18,1
MNDA,2752,5155,6131,5090,636,647,2142,2070,508,209,1018,767,2498,2978,7126,1177
ARSA,755,2675,1679,1712,935,556,1569,1099,428,356,460,383,1564,1520,1637,889
PHLDB1,864,835,220,976,243,649,2853,3164,6177,1477,1189,1328,1435,927,165,2528
PLXNA2,354,444,195,448,40,399,406,1090,6805,2735,681,205,679,126,137,841
ITGAL,4633,18171,16047,7326,9895,1921,3962,5916,2893,206,2901,1278,11934,6643,6559,1729
GALNT6,367,1345,1284,1409,381,138,434,493,254,88,263,104,929,698,1192,493
RP11-486I11.2,17,45,37,25,11,10,22,15,3,5,7,6,35,20,34,4
FJX1,34,83,16,53,8,224,207,180,536,305,135,51,102,119,6,180
